"Delež prebivalcev, vkljuèenih v terciarno izobraževanje, po vrsti izobraževanja, spolu in starosti, Slovenija, letno"

"SPOL";"STAROSTNI RAZRED";"2010/11 Vrsta izobraževanja - SKUPAJ";"2010/11 Višje strokovno";"2010/11 Visokošolsko dodiplomsko";"2010/11 Visokošolsko podiplomsko";"2011/12 Vrsta izobraževanja - SKUPAJ";"2011/12 Višje strokovno";"2011/12 Visokošolsko dodiplomsko";"2011/12 Visokošolsko podiplomsko";"2012/13 Vrsta izobraževanja - SKUPAJ";"2012/13 Višje strokovno";"2012/13 Visokošolsko dodiplomsko";"2012/13 Visokošolsko podiplomsko";"2013/14 Vrsta izobraževanja - SKUPAJ";"2013/14 Višje strokovno";"2013/14 Visokošolsko dodiplomsko";"2013/14 Visokošolsko podiplomsko";"2014/15 Vrsta izobraževanja - SKUPAJ";"2014/15 Višje strokovno";"2014/15 Visokošolsko dodiplomsko";"2014/15 Visokošolsko podiplomsko";"2015/16 Vrsta izobraževanja - SKUPAJ";"2015/16 Višje strokovno";"2015/16 Visokošolsko dodiplomsko";"2015/16 Visokošolsko podiplomsko";"2016/17 Vrsta izobraževanja - SKUPAJ";"2016/17 Višje strokovno";"2016/17 Visokošolsko dodiplomsko";"2016/17 Visokošolsko podiplomsko";"2017/18 Vrsta izobraževanja - SKUPAJ";"2017/18 Višje strokovno";"2017/18 Visokošolsko dodiplomsko";"2017/18 Visokošolsko podiplomsko";"2018/19 Vrsta izobraževanja - SKUPAJ";"2018/19 Višje strokovno";"2018/19 Visokošolsko dodiplomsko";"2018/19 Visokošolsko podiplomsko";"2019/20 Vrsta izobraževanja - SKUPAJ";"2019/20 Višje strokovno";"2019/20 Visokošolsko dodiplomsko";"2019/20 Visokošolsko podiplomsko";"2020/21 Vrsta izobraževanja - SKUPAJ";"2020/21 Višje strokovno";"2020/21 Visokošolsko dodiplomsko";"2020/21 Visokošolsko podiplomsko"
"Spol - SKUPAJ";"Starost - SKUPAJ";5.23;0.76;3.82;0.65;5.06;0.70;3.59;0.78;4.85;0.65;3.33;0.89;4.50;0.64;2.93;0.95;4.15;0.56;2.64;0.98;3.91;0.54;2.44;0.95;3.85;0.53;2.38;0.96;3.70;0.50;2.25;0.95;3.65;0.51;2.20;0.94;3.66;0.51;2.21;0.94;3.92;0.50;2.39;1.03
"Spol - SKUPAJ";"18 let ali manj";5.17;0.21;4.95;0.01;5.05;0.25;4.75;0.01;4.59;0.20;4.31;-;4.07;0.36;3.53;0.01;3.28;0.22;2.93;-;2.18;0.17;1.86;0.00;1.16;0.06;1.00;0.00;0.05;0.00;0.05;-;0.06;0.00;0.06;-;0.07;0.01;0.07;-;0.05;0.00;0.05;-
"Spol - SKUPAJ";"19 let";53.37;3.42;49.95;-;54.20;3.62;47.13;0.01;54.63;4.18;46.55;-;53.81;4.73;44.85;-;52.99;5.67;42.13;0.00;53.62;6.23;42.27;-;54.68;6.74;41.55;0.01;54.10;6.83;47.24;0.02;55.20;6.65;48.52;0.02;55.54;6.78;48.73;0.04;57.77;6.01;51.76;-
"Spol - SKUPAJ";"20 - 24 let";48.33;6.10;39.48;2.75;48.32;5.96;37.18;3.82;49.03;6.14;34.31;5.26;48.56;6.27;30.68;6.42;48.27;6.24;28.50;7.06;46.66;6.36;26.19;6.89;46.01;6.50;25.20;6.52;45.08;6.21;30.75;8.12;44.46;6.12;30.33;8.00;43.85;5.86;30.11;7.88;46.95;5.95;32.81;8.19
"Spol - SKUPAJ";"25 - 29 let";12.42;2.40;6.79;3.23;12.95;2.42;6.31;3.92;13.07;2.29;5.87;4.42;12.30;2.56;4.51;4.65;10.83;1.64;3.43;4.96;10.24;1.30;2.80;5.07;10.36;1.19;2.60;5.21;9.89;1.04;2.55;6.30;9.80;1.06;2.41;6.32;9.91;1.07;2.33;6.51;11.49;1.10;2.98;7.40
"Spol - SKUPAJ";"30 - 34 let";3.59;0.79;1.50;1.30;3.46;0.65;1.43;1.37;3.08;0.50;1.25;1.29;2.69;0.46;1.01;1.14;2.24;0.40;0.79;0.96;2.11;0.42;0.75;0.80;2.43;0.44;0.93;0.84;0.12;0.02;0.05;0.05;2.26;0.47;0.72;1.06;2.30;0.52;0.66;1.13;2.57;0.51;0.75;1.31
"Spol - SKUPAJ";"35 - 39 let";2.68;0.65;1.17;0.87;2.42;0.51;1.07;0.87;2.07;0.38;0.88;0.84;1.66;0.29;0.68;0.74;1.37;0.25;0.52;0.64;1.39;0.31;0.55;0.58;1.59;0.29;0.70;0.65;1.58;0.31;0.62;0.66;1.61;0.38;0.56;0.66;1.67;0.41;0.57;0.69;1.76;0.37;0.64;0.75
"Spol - SKUPAJ";"40 let +";0.46;0.12;0.18;0.16;0.43;0.09;0.17;0.17;0.37;0.07;0.15;0.16;0.30;0.05;0.11;0.14;0.24;0.04;0.08;0.13;0.23;0.04;0.09;0.11;0.27;0.04;0.10;0.14;0.28;0.04;0.10;0.14;0.29;0.05;0.09;0.14;0.29;0.06;0.09;0.14;0.32;0.06;0.10;0.16
"Moški";"Starost - SKUPAJ";4.16;0.84;2.82;0.50;4.32;0.79;2.93;0.61;4.11;0.75;2.68;0.70;3.79;0.72;2.36;0.73;3.50;0.64;2.14;0.74;3.35;0.64;1.99;0.74;3.30;0.64;1.94;0.75;3.16;0.61;1.82;0.74;3.10;0.63;1.75;0.73;3.12;0.62;1.75;0.74;3.30;0.61;1.89;0.80
"Moški";"18 let ali manj";3.54;0.32;3.20;0.02;3.62;0.28;3.29;0.01;3.26;0.18;2.98;-;2.79;0.35;2.31;0.01;2.65;0.24;2.32;-;1.48;0.16;1.20;0.01;0.87;0.09;0.71;0.01;0.05;0.00;0.05;-;0.05;0.00;0.04;-;0.06;0.00;0.05;-;0.04;0.00;0.04;-
"Moški";"19 let";40.96;4.07;36.89;-;46.75;4.22;39.83;0.01;46.97;4.73;38.97;-;46.23;5.38;36.93;-;45.57;6.35;34.79;-;46.56;7.05;35.51;-;47.17;7.98;33.85;0.01;47.00;8.07;38.90;0.03;47.23;7.72;39.49;0.02;47.88;7.97;39.90;0.01;48.66;7.51;41.15;-
"Moški";"20 - 24 let";35.71;6.67;27.26;1.78;39.17;6.75;28.47;2.73;39.66;7.13;25.87;3.89;39.33;7.10;23.41;4.54;39.26;7.25;21.72;4.95;37.92;7.34;19.80;4.94;37.42;7.56;18.93;4.80;36.21;7.22;23.03;5.97;35.39;7.26;22.26;5.87;34.61;6.82;21.95;5.84;37.25;6.93;24.06;6.25
"Moški";"25 - 29 let";9.73;2.30;5.03;2.40;10.51;2.33;4.99;2.92;10.36;2.17;4.44;3.30;9.47;2.17;3.35;3.45;8.49;1.51;2.66;3.64;8.16;1.32;2.20;3.76;8.31;1.26;2.10;3.82;8.04;1.18;2.10;4.75;7.77;1.23;1.93;4.62;7.73;1.24;1.75;4.74;8.74;1.23;2.18;5.33
"Moški";"30 - 34 let";2.96;0.85;1.12;0.99;2.96;0.73;1.14;1.08;2.61;0.61;1.03;0.95;2.28;0.59;0.80;0.84;1.89;0.49;0.60;0.72;1.89;0.54;0.65;0.58;2.17;0.55;0.81;0.63;0.11;0.03;0.04;0.04;1.94;0.59;0.58;0.77;2.01;0.65;0.52;0.84;2.18;0.63;0.58;0.97
"Moški";"35 - 39 let";2.09;0.65;0.78;0.66;1.91;0.52;0.73;0.68;1.64;0.39;0.63;0.64;1.35;0.35;0.49;0.54;1.06;0.28;0.37;0.44;1.21;0.37;0.44;0.43;1.34;0.34;0.59;0.46;1.33;0.36;0.50;0.47;1.34;0.43;0.42;0.49;1.36;0.46;0.41;0.49;1.35;0.40;0.43;0.51
"Moški";"40 let +";0.38;0.12;0.12;0.14;0.36;0.09;0.13;0.14;0.31;0.07;0.11;0.13;0.26;0.06;0.08;0.12;0.20;0.04;0.06;0.10;0.21;0.05;0.07;0.10;0.24;0.05;0.09;0.12;0.25;0.05;0.09;0.12;0.25;0.06;0.07;0.12;0.25;0.07;0.07;0.11;0.27;0.07;0.08;0.12
"Ženske";"Starost - SKUPAJ";6.27;0.69;4.79;0.79;5.78;0.62;4.24;0.94;5.58;0.56;3.97;1.07;5.20;0.57;3.49;1.16;4.79;0.47;3.13;1.21;4.47;0.44;2.89;1.16;4.40;0.43;2.82;1.16;4.24;0.40;2.68;1.16;4.20;0.39;2.66;1.15;4.21;0.39;2.67;1.15;4.55;0.39;2.91;1.25
"Ženske";"18 let ali manj";6.92;0.09;6.82;0.01;6.57;0.22;6.32;0.01;5.98;0.22;5.73;-;5.43;0.38;4.85;0.02;3.96;0.21;3.58;-;2.92;0.18;2.56;-;1.47;0.02;1.31;-;0.06;0.00;0.06;-;0.09;0.00;0.08;-;0.09;0.01;0.09;-;0.07;0.00;0.07;-
"Ženske";"19 let";66.51;2.73;63.77;-;62.16;2.98;54.85;0.01;62.72;3.59;54.58;-;61.67;4.05;53.25;-;60.79;4.96;49.91;0.01;61.20;5.36;49.44;-;62.58;5.44;49.70;0.01;61.82;5.49;56.32;0.01;63.78;5.50;58.25;0.02;63.80;5.49;58.25;0.06;67.66;4.39;63.28;-
"Ženske";"20 - 24 let";62.02;5.50;52.73;3.79;58.13;5.12;46.63;5.01;59.02;5.09;43.46;6.75;58.33;5.38;38.56;8.47;57.74;5.17;35.87;9.35;55.85;5.33;33.12;9.00;55.13;5.38;32.01;8.38;54.55;5.14;39.00;10.42;54.52;4.86;39.29;10.37;54.51;4.76;39.51;10.24;58.14;4.82;42.90;10.42
"Ženske";"25 - 29 let";15.39;2.51;8.75;4.14;15.63;2.53;7.77;5.03;16.02;2.43;7.44;5.65;15.38;2.98;5.80;5.97;13.36;1.77;4.27;6.42;12.48;1.28;3.47;6.53;12.57;1.12;3.15;6.74;11.91;0.89;3.03;7.99;12.05;0.88;2.95;8.21;12.42;0.88;3.01;8.53;14.67;0.96;3.91;9.80
"Ženske";"30 - 34 let";4.28;0.73;1.91;1.64;4.01;0.56;1.74;1.69;3.60;0.39;1.51;1.66;3.13;0.31;1.25;1.48;2.63;0.29;0.99;1.22;2.35;0.28;0.87;1.03;2.73;0.32;1.07;1.08;0.13;0.02;0.05;0.06;2.62;0.35;0.89;1.39;2.64;0.36;0.81;1.47;3.03;0.37;0.95;1.71
"Ženske";"35 - 39 let";3.33;0.64;1.59;1.10;2.97;0.51;1.43;1.07;2.54;0.37;1.16;1.07;2.01;0.22;0.89;0.95;1.71;0.22;0.68;0.86;1.60;0.25;0.67;0.74;1.87;0.24;0.83;0.86;1.86;0.25;0.75;0.86;1.91;0.33;0.73;0.85;2.02;0.36;0.75;0.91;2.23;0.33;0.87;1.03
"Ženske";"40 let +";0.53;0.12;0.23;0.18;0.50;0.09;0.21;0.20;0.42;0.06;0.18;0.19;0.34;0.04;0.14;0.17;0.27;0.04;0.10;0.15;0.25;0.03;0.10;0.13;0.29;0.04;0.11;0.15;0.31;0.04;0.11;0.16;0.32;0.05;0.11;0.17;0.32;0.06;0.11;0.16;0.38;0.06;0.13;0.19
